EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,SalaryPerLevel,SatisfactionIndex,PromotionRatio,CareerProgressIndex,DistanceRiskIndex,AdjustedWorkLifeBalance,JobStabilityIndex,Cluster,RiskLevel,AttritionRiskScore,RiskCategory
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,0,15,3,1,80,0,15,2,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,2388.5,1.25,0.0,0.21666666666666667,2.4849066497880004,1.0,0.11736111111111111,0,Risiko Sedang,10.785619174434089,Sedang
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,1,12,3,3,80,3,18,2,4,10,0,2,7,Rendah (< 5000),1-2 Tahun,50+,0-5 km,2461.0,2.75,0.2,0.2333333333333333,1.6094379124341003,2.6666666666666665,0.16544117647058823,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,0,14,3,4,80,1,23,2,4,20,4,4,8,Tinggi (10000-15000),3-5 Tahun,40-49,21-30 km,3381.25,3.25,0.2,0.6083333333333334,3.295836866004329,4.0,0.40931372549019607,0,Risiko Sedang,10.785619174434089,Sedang
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,1,22,4,3,80,3,6,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,3728.5,2.75,0.0,0.16666666666666666,0.6931471805599453,1.3333333333333333,0.29052287581699343,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,1,13,3,4,80,1,24,2,3,5,2,1,4,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,3971.8,3.0,0.2,0.5750000000000001,1.0986122886681098,2.0,0.2289624183006536,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,0,13,3,1,80,0,8,2,3,8,1,1,7,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,2153.0,2.5,0.125,0.13333333333333333,2.9444389791664403,3.0,0.3890522875816993,0,Risiko Sedang,10.785619174434089,Sedang
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,0,15,3,4,80,0,10,6,3,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,3719.6666666666665,3.5,1.0,0.30833333333333335,1.3862943611198906,3.0,0.4105800653594771,0,Risiko Sedang,10.785619174434089,Sedang
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,0,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,2128.0,2.25,0.0,0.16666666666666666,1.6094379124341003,4.0,0.3253676470588235,0,Risiko Sedang,10.785619174434089,Sedang
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,0,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,2973.0,1.75,0.0,0.016666666666666666,1.6094379124341003,3.0,0.22847222222222222,0,Risiko Sedang,10.785619174434089,Sedang
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,0,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,3998.0,2.5,0.0,0.3916666666666666,3.1780538303479458,3.0,0.20069444444444443,0,Risiko Sedang,10.785619174434089,Sedang
