EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Income_Level,Satisfaction_Index,Career_Progress,Stability_Factor,Work_Life_Balance_Impact,Distance_Strain,Promotion_Expectation,Experience_vs_Tenure,Loyalty_Index,Cluster,Cluster_Label,Dim1,Dim2
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,2388.5,1.25,2.0,0.16666666666666666,1,10.0,0.125,0.875,0.3333333333333333,1,Risiko Sedang,-0.6624524111728151,0.4098283231112587
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,Rendah (< 5000),1-2 Tahun,50+,0-5 km,1,2461.0,2.75,0.3333333333333333,1.0,0,0.9756097560975611,0.05263157894736842,0.42105263157894735,3.0,1,Risiko Sedang,-0.5611779587688915,0.08056886764598743
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,Tinggi (10000-15000),3-5 Tahun,40-49,21-30 km,0,3381.25,3.25,0.8,3.3333333333333335,4,6.341463414634147,0.16666666666666666,0.125,6.666666666666667,1,Risiko Sedang,-0.11035316204355564,-0.8672352958516907
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,1,3728.5,2.75,2.0,1.3333333333333333,0,0.47619047619047616,0.2857142857142857,0.2857142857142857,5.333333333333333,1,Risiko Sedang,-0.5980150507664042,0.3444106379829543
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,1,3971.8,3.0,2.5,0.8333333333333334,0,0.6451612903225806,0.2,0.76,0.8333333333333334,1,Risiko Sedang,-0.5298245925384613,-0.0843000689455732
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,2153.0,2.5,0.5,4.0,3,5.806451612903226,0.1111111111111111,0.0,16.0,1,Risiko Sedang,-0.40364082718790223,0.22117541731971085
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,3719.6666666666665,3.5,0.375,1.75,3,0.9677419354838709,0.2727272727272727,0.2727272727272727,7.0,1,Risiko Sedang,-0.4552798310334624,-0.2590356584637008
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2128.0,2.25,2.0,2.5,4,0.9756097560975611,0.3333333333333333,0.0,2.5,1,Risiko Sedang,-0.6223628413993987,0.39845341687984415
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2973.0,1.75,1.0,0.5,3,1.2903225806451613,0.5,0.0,0.5,1,Risiko Sedang,-0.6620606435389376,0.5297672600783945
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,0,3998.0,2.5,4.0,0.3333333333333333,3,7.419354838709677,0.23529411764705882,0.8823529411764706,1.3333333333333333,1,Risiko Sedang,-0.6230555639576189,0.3094228115683311
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,1,2927.5,3.0,0.2222222222222222,9.0,0,10.909090909090908,0.18181818181818182,0.09090909090909091,36.0,1,Risiko Sedang,1.2677611016485013,-0.7330415289973343
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,1,2664.5,3.25,1.0,1.625,0,1.9354838709677418,0.1111111111111111,0.2222222222222222,6.5,1,Risiko Sedang,-0.48198729087031694,0.05944361910384859
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,2276.5,2.75,0.16666666666666666,10.0,3,0.6451612903225806,0.09523809523809523,0.0,30.0,1,Risiko Sedang,1.7708851092913054,-2.077241736355081
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,0,3881.2,1.75,2.5,0.8,2,2.380952380952381,0.2,0.8,0.8,1,Risiko Sedang,-0.5586315991013026,-0.0521702894818188
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,3742.2,2.75,5.0,0.3333333333333333,4,0.9756097560975611,0.20833333333333334,0.9166666666666666,1.0,1,Risiko Sedang,-0.599184716222995,0.22873881090116593
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,1,2725.0,2.75,0.5,3.0,0,7.419354838709677,0.14285714285714285,0.0,12.0,1,Risiko Sedang,-0.520079322071532,0.28337176833997696
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,3309.25,2.75,0.6666666666666666,2.5,3,1.9354838709677418,0.17391304347826086,0.08695652173913043,7.5,1,Risiko Sedang,-0.13333052749946825,-0.9240222293196388
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,0,3115.0,3.75,1.0,1.75,3,3.225806451612903,0.11764705882352941,0.11764705882352941,7.0,1,Risiko Sedang,-0.44553882374390186,0.026186610611647208
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,2614.0,3.0,0.16666666666666666,6.5,0,2.5806451612903225,0.14285714285714285,0.0,13.0,1,Risiko Sedang,0.0408575913108227,-1.2035061441610144
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,2293.0,2.25,0.3333333333333333,0.6666666666666666,0,0.47619047619047616,0.14285714285714285,0.5714285714285714,2.6666666666666665,1,Risiko Sedang,-0.6350924141670372,0.3629730677445828
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,1,4280.75,3.0,0.25,2.7142857142857144,0,4.193548387096774,0.18181818181818182,0.09090909090909091,5.428571428571429,1,Risiko Sedang,0.22879122240606328,-3.0988968396182286
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,2267.0,2.75,0.3333333333333333,0.2222222222222222,2,2.857142857142857,0.125,0.625,0.6666666666666666,1,Risiko Sedang,-0.6316414196385911,0.30806892768205396
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,1,3293.0,2.5,0.4,16.0,0,6.666666666666666,0.1111111111111111,0.05555555555555555,64.0,2,Risiko Rendah,6.9171604436672265,0.8040061000400357
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,1745.5,2.25,0.2222222222222222,5.0,2,3.333333333333333,0.18181818181818182,0.0,15.0,1,Risiko Sedang,-0.22070563086714687,-0.4156833651152946
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,2844.0,3.5,0.16666666666666666,3.5,4,0.24390243902439027,0.125,0.0,10.5,1,Risiko Sedang,-0.45994354565339934,0.0011242118090436907
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,2909.0,3.0,0.5,0.75,4,0.24390243902439027,0.16666666666666666,0.3333333333333333,2.25,1,Risiko Sedang,-0.6257008010165013,0.35193153276833117
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,2695.0,2.5,0.3333333333333333,2.0,0,1.8181818181818181,0.25,0.25,8.0,1,Risiko Sedang,-0.6018486627576063,0.35187410747705944
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,3326.5,3.25,2.0,0.2,3,0.3225806451612903,0.25,0.75,0.8,1,Risiko Sedang,-0.6358292831687689,0.3959845169697687
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,1,3081.0,2.5,0.25,4.5,0,0.3225806451612903,0.2,0.0,18.0,1,Risiko Sedang,-0.15774140203780526,-0.4144592225539199
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2110.5,2.75,2.0,2.5,4,0.9756097560975611,0.3333333333333333,0.0,7.5,1,Risiko Sedang,-0.5922162306323978,0.39305847237688357
