EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Gender_Numeric,Cluster,PC1,PC2,Cluster_Label,Cluster_Short,Satisfaction_Index,Turnover_Risk_Score,PC3,PC4,PC5,Income_Level_Ratio,Income_Experience_Ratio,Salary_Hike_Effectiveness,Stock_Income_Ratio,Overtime_Balance_Impact,Satisfaction_Overtime_Ratio,Promotion_Rate,Career_Stagnation,Role_Stability,Manager_Change_Rate,Job_Stability,Loyalty_Index,Distance_Strain,Job_Intensity,Commute_Burden,Age_squared,Distance_Strain_squared,Career_Stagnation_squared,Turnover_Risk_Score_squared
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,0,0,3.0859402871381514,-2.225267219964481,Risiko Rendah (Cluster 0),R2: C0,1.5,0,-3.3349731284358217,-0.26953952481413457,-1.607129517796769,2274.7619047619046,298.5625,4.838709677419355,0.0,0,12.5,2.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,10.0,1,11.0,1369,100.0,0.0,0.140625
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,Rendah (< 5000),1-2 Tahun,50+,0-5 km,1,1,0,-0.7578886343493114,-0.651428621504233,Risiko Rendah (Cluster 0),R2: C0,3.5,2,2.9527483837896895,-0.26458028285452617,-0.5721510784677667,2237.272727272727,129.52631578947367,3.8709677419354835,1.2185215272136476,1,2.5,0.3333333333333333,0.18181818181818182,0.0,0.6930693069306931,1.0,3.0,0.9756097560975611,6,6.0,2601,0.9518143961927426,0.03305785123966942,1.1798246597853506
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,Tinggi (10000-15000),3-5 Tahun,40-49,21-30 km,0,0,0,0.6171676225969636,1.7832346252989328,Risiko Rendah (Cluster 0),R2: C0,3.0,0,-1.1355569600343003,-0.7639588914051781,-1.6800755259290259,3298.7804878048782,563.5416666666666,4.516129032258064,0.0739316871211001,0,32.5,0.8,0.19047619047619047,0.1990049751243781,0.3980099502487562,3.3333333333333335,6.666666666666667,6.341463414634147,3,26.0,1764,40.21415823914337,0.03628117913832199,0.37197956839884466
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,1,1,0,-1.2562053163889992,-1.4591968992687323,Risiko Rendah (Cluster 0),R2: C0,3.0,2,-0.6967172617335757,-0.5119473841926541,0.003950454618833962,3550.9523809523807,1065.2857142857142,5.365853658536586,0.40225261464199513,3,2.5,2.0,0.0,0.7317073170731708,0.48780487804878053,1.3333333333333333,5.333333333333333,0.47619047619047616,2,1.5,1600,0.22675736961451246,0.0,0.4524163832199544
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,1,1,0,-1.0101956585602752,0.3206685255154067,Risiko Rendah (Cluster 0),R2: C0,2.0,2,2.7022934426866128,-2.375305783299514,-3.4368926294530144,3893.921568627451,794.36,4.193548387096774,0.050352467270896276,2,2.727272727272727,2.5,0.16666666666666666,0.3921568627450981,0.7843137254901962,0.8333333333333334,0.8333333333333334,0.6451612903225806,6,3.0,3025,0.4162330905306972,0.027777777777777776,0.8061336570701817
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,0,0,0.4673788974085702,-0.10276359820524805,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-1.087480734771216,-0.42934838718455237,1.2390011620342416,1957.272727272727,239.22222222222223,4.193548387096774,0.0,0,25.0,0.5,0.1111111111111111,0.1234567901234568,0.8641975308641976,4.0,16.0,5.806451612903226,3,18.0,1296,33.714880332986475,0.012345679012345678,0.19992757672691766
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,0,0,-1.8529332662343743,1.381602499027136,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-0.49547727685995346,3.373630200646661,-0.4845018415421501,3599.6774193548385,1014.4545454545455,4.838709677419355,0.0,0,35.0,0.375,0.875,0.9859154929577465,0.9859154929577465,1.75,7.0,0.9677419354838709,3,3.0,1024,0.9365244536940686,0.765625,0.00936524453694067
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,0,-1.4643872257135873,-1.9220875907462123,Risiko Rendah (Cluster 0),R2: C0,2.5,0,-1.2187702516362338,-0.3032926059173799,0.46207998385099647,2026.6666666666665,709.3333333333334,3.8709677419354835,0.0,0,22.5,2.0,0.0,0.3921568627450981,0.5882352941176471,2.5,2.5,0.9756097560975611,2,4.0,625,0.9518143961927426,0.0,1.055630948839976
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,0,-1.035171959660398,-3.0981969362388164,Risiko Rendah (Cluster 0),R2: C0,2.0,0,-0.474622660750031,-0.3216365415199307,0.8511650127134048,2702.7272727272725,1486.5,6.129032258064516,0.0,0,17.5,1.0,0.0,0.0,0.0,0.5,0.5,1.2903225806451613,3,4.0,400,1.6649323621227887,0.0,0.5564678720083247
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,0,0,0,1.5680085105144927,-1.336005919660957,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-1.2870195522074928,-2.3878188572742243,-2.3100115850826533,3900.4878048780492,940.7058823529412,4.516129032258064,0.0,0,25.0,4.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,7.419354838709677,3,23.0,1764,55.0468262226847,0.0,0.25812955254942765
