EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Income_Level,Satisfaction_Index,Career_Progress,Stability_Factor,Work_Life_Balance_Impact,Distance_Strain,Promotion_Expectation,Experience_vs_Tenure,Loyalty_Index,Cluster,Cluster_Label,Dim1,Dim2
1,38,0.0,Travel_Frequently,1444,Human Resources,1,4,Other,1,4,Male,88,3,1,Human Resources,2,Married,2991,5224,0,Y,Yes,11,3,2,80,1,7,2,3,6,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,2991.0,2.75,0.5,6.0,0,0.3225806451612903,0.125,0.125,12.0,0,Risiko Sedang,-0.40254556470301883,0.2382905325144103
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,2388.5,1.25,2.0,0.16666666666666666,1,10.0,0.125,0.875,0.3333333333333333,0,Risiko Sedang,-0.6151149145039632,0.4490712382762536
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,Rendah (< 5000),1-2 Tahun,50+,0-5 km,1,2461.0,2.75,0.3333333333333333,1.0,0,0.9756097560975611,0.05263157894736842,0.42105263157894735,3.0,0,Risiko Sedang,-0.5181475913181915,0.11651136571056277
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,Tinggi (10000-15000),3-5 Tahun,40-49,21-30 km,0,3381.25,3.25,0.8,3.3333333333333335,4,6.341463414634147,0.16666666666666666,0.125,6.666666666666667,0,Risiko Sedang,-0.07961872268277304,-0.9257139355354294
5,40,0.0,Travel_Rarely,1194,Research & Development,2,4,Medical,1,3,Female,98,3,1,Research Scientist,3,Married,2001,12549,2,Y,No,14,3,2,80,3,20,2,3,5,3,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,0,2001.0,2.75,1.0,1.6666666666666667,3,0.6451612903225806,0.047619047619047616,0.7142857142857143,5.0,0,Risiko Sedang,-0.5463526114819536,0.32280352517870464
6,29,0.0,Travel_Rarely,352,Human Resources,6,1,Medical,1,4,Male,87,2,1,Human Resources,2,Married,2804,15434,1,Y,No,11,3,4,80,0,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,0,2804.0,3.25,1.0,0.5,3,1.9354838709677418,0.5,0.0,1.0,0,Risiko Sedang,-0.6096288088174776,0.5490844665087456
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,1,3728.5,2.75,2.0,1.3333333333333333,0,0.47619047619047616,0.2857142857142857,0.2857142857142857,5.333333333333333,0,Risiko Sedang,-0.5569428904134462,0.37945083530741314
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,1,3971.8,3.0,2.5,0.8333333333333334,0,0.6451612903225806,0.2,0.76,0.8333333333333334,0,Risiko Sedang,-0.47841063436102105,-0.08289464282593373
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,2153.0,2.5,0.5,4.0,3,5.806451612903226,0.1111111111111111,0.0,16.0,0,Risiko Sedang,-0.37852965669067423,0.2350790336673259
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,3719.6666666666665,3.5,0.375,1.75,3,0.9677419354838709,0.2727272727272727,0.2727272727272727,7.0,0,Risiko Sedang,-0.428053924072001,-0.22454065806169826
