EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Income_Level,Satisfaction_Index,Career_Progress,Stability_Factor,Work_Life_Balance_Impact,Distance_Strain,Promotion_Expectation,Experience_vs_Tenure,Loyalty_Index,Compensation_Satisfaction,Turnover_Risk,Career_Stagnation,Cluster,Cluster_Label,Dim1,Dim2
1,38,0.0,Travel_Frequently,1444,Human Resources,1,4,Other,1,4,Male,88,3,1,Human Resources,2,Married,2991,5224,0,Y,Yes,11,3,2,80,1,7,2,3,6,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,2991.0,2.75,0.5,6.0,0,0.3225806451612903,0.125,0.125,12.0,373.875,0.16129032258064516,0.14285714285714285,0,Risiko Rendah (Cluster 0),-26.343507806535754,-0.2057650869512153
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,2388.5,1.25,2.0,0.16666666666666666,1,10.0,0.125,0.875,0.3333333333333333,149.28125,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.366655220603295,-0.2608891553439128
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,Rendah (< 5000),1-2 Tahun,50+,0-5 km,1,2461.0,2.75,0.3333333333333333,1.0,0,0.9756097560975611,0.05263157894736842,0.42105263157894735,3.0,129.52631578947367,0.3252032520325204,0.18181818181818182,0,Risiko Rendah (Cluster 0),-26.23809277677983,-0.26402692269188854
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,Tinggi (10000-15000),3-5 Tahun,40-49,21-30 km,0,3381.25,3.25,0.8,3.3333333333333335,4,6.341463414634147,0.16666666666666666,0.125,6.666666666666667,140.88541666666666,0.0,0.19047619047619047,0,Risiko Rendah (Cluster 0),-26.367902177105815,-0.23759314520070257
5,40,0.0,Travel_Rarely,1194,Research & Development,2,4,Medical,1,3,Female,98,3,1,Research Scientist,3,Married,2001,12549,2,Y,No,14,3,2,80,3,20,2,3,5,3,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,0,2001.0,2.75,1.0,1.6666666666666667,3,0.6451612903225806,0.047619047619047616,0.7142857142857143,5.0,95.28571428571429,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36805149048383,-0.24932030957631435
6,29,0.0,Travel_Rarely,352,Human Resources,6,1,Medical,1,4,Male,87,2,1,Human Resources,2,Married,2804,15434,1,Y,No,11,3,4,80,0,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,0,2804.0,3.25,1.0,0.5,3,1.9354838709677418,0.5,0.0,1.0,1402.0,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36853905865553,-0.23078337542287877
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,1,3728.5,2.75,2.0,1.3333333333333333,0,0.47619047619047616,0.2857142857142857,0.2857142857142857,5.333333333333333,532.6428571428571,0.11904761904761904,0.0,0,Risiko Rendah (Cluster 0),-26.35436282028975,-0.25680136775807044
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,1,3971.8,3.0,2.5,0.8333333333333334,0,0.6451612903225806,0.2,0.76,0.8333333333333334,158.872,0.6451612903225806,0.16666666666666666,0,Risiko Rendah (Cluster 0),-25.552564052408833,-1.0829509343895647
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,2153.0,2.5,0.5,4.0,3,5.806451612903226,0.1111111111111111,0.0,16.0,239.22222222222223,0.0,0.1111111111111111,0,Risiko Rendah (Cluster 0),-26.36793028579882,-0.2389557241348193
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,3719.6666666666665,3.5,0.375,1.75,3,0.9677419354838709,0.2727272727272727,0.2727272727272727,7.0,338.1515151515151,0.0,0.875,0,Risiko Rendah (Cluster 0),-26.368337073922223,-0.2386143467259027
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2128.0,2.25,2.0,2.5,4,0.9756097560975611,0.3333333333333333,0.0,2.5,354.6666666666667,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36810049956595,-0.2470735354460276
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2973.0,1.75,1.0,0.5,3,1.2903225806451613,0.5,0.0,0.5,1486.5,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.368341731655452,-0.23118674910847764
13,47,0.0,Travel_Rarely,571,Sales,14,3,Medical,1,3,Female,78,3,2,Sales Executive,3,Married,4591,24200,3,Y,Yes,17,3,3,80,1,11,4,2,5,4,1,2,Rendah (< 5000),1-2 Tahun,40-49,11-20 km,1,2295.5,2.75,1.0,1.25,0,6.666666666666666,0.16666666666666666,0.5,3.75,191.29166666666666,2.222222222222222,0.16666666666666666,0,Risiko Rendah (Cluster 0),-0.34243382303639364,-0.5405242413320274
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,0,3998.0,2.5,4.0,0.3333333333333333,3,7.419354838709677,0.23529411764705882,0.8823529411764706,1.3333333333333333,235.1764705882353,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36717004919994,-0.27276999632125176
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,1,2927.5,3.0,0.2222222222222222,9.0,0,10.909090909090908,0.18181818181818182,0.09090909090909091,36.0,266.1363636363636,2.727272727272727,0.8,0,Risiko Rendah (Cluster 0),20.971255908271214,16.688262039986828
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,1,2664.5,3.25,1.0,1.625,0,1.9354838709677418,0.1111111111111111,0.2222222222222222,6.5,148.02777777777777,0.48387096774193544,0.07142857142857142,0,Risiko Rendah (Cluster 0),-26.01348913464722,-0.19403273695901976
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,2276.5,2.75,0.16666666666666666,10.0,3,0.6451612903225806,0.09523809523809523,0.0,30.0,108.4047619047619,0.0,0.5238095238095238,0,Risiko Rendah (Cluster 0),-26.36890087478008,-0.208039083185668
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,0,3881.2,1.75,2.5,0.8,2,2.380952380952381,0.2,0.8,0.8,155.248,0.0,0.2,0,Risiko Rendah (Cluster 0),-26.36718903417072,-0.2698900430203848
