EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Gender_Numeric,Income_Level,Income_Experience_Ratio,Income_Education_Ratio,StockOption_Income_Ratio,Salary_Hike_Effectiveness,Satisfaction_Index,Job_Environment_Balance,Work_Life_Balance_Impact,Overtime_Satisfaction_Interaction,Career_Progress,Career_Growth_Rate,Career_Stagnation,Promotion_Expectation,Internal_Mobility_Index,Stability_Factor,Loyalty_Index,Manager_Relationship_Tenure,Company_Experience_Ratio,Distance_Strain,Role_Complexity_Factor,Job_Intensity,Commute_Burden,Turnover_Risk_Score,Compensation_Satisfaction,OverTime_Numeric_WorkLifeBalance_product,OverTime_Numeric_WorkLifeBalance_ratio,YearsSinceLastPromotion_JobSatisfaction_product,YearsSinceLastPromotion_JobSatisfaction_ratio,DistanceFromHome_WorkLifeBalance_product,DistanceFromHome_WorkLifeBalance_ratio,MonthlyIncome_JobLevel_product,MonthlyIncome_JobLevel_ratio,YearsAtCompany_NumCompaniesWorked_product,YearsAtCompany_NumCompaniesWorked_ratio,Age_squared,Age_cubed,YearsAtCompany_squared,YearsAtCompany_cubed,DistanceFromHome_squared,DistanceFromHome_cubed,MonthlyIncome_squared,MonthlyIncome_cubed,Cluster,Cluster_Label,Dim1,Dim2,Component_1,Component_2,Component_3,Component_4,Component_5
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,0,2388.5,298.5625,1592.3333333333333,0.0,3.75,1.25,0.125,1,0.0,2.0,1.0,0.0,0.125,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0625,10.0,2.0,0,11.0,0.375,238.7,0,0.0,0,0.0,11,10.0,9554,2274.7619047619046,5,0.19607843137254904,1369,50653,1,1,121,1331,22819729,109009845433,4,Risiko Sedang (Cluster 4),-19.513341708010568,2.2902050635241586,-19.513341708010568,2.2902050635241586,-12.303972925500561,0.42682027717304843,-0.453545091141166
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,Rendah (< 5000),1-2 Tahun,50+,0-5 km,1,1,2461.0,129.52631578947367,492.2,0.0012185215272136475,3.0,2.75,0.1875,0,0.3508771929824561,0.3333333333333333,0.09090909090909091,0.18181818181818182,0.05263157894736842,0.0,1.0,3.0,0.6930693069306931,0.5263157894736842,0.9756097560975611,0.75,3,6.0,-0.09562084257206194,245.92,4,0.24390243902439027,6,0.6451612903225806,16,0.9756097560975611,2461,2237.272727272727,90,1.098901098901099,2601,132651,100,1000,16,64,6056521,14905098181,5,Risiko Sangat Tinggi (Cluster 5),24.896068789351695,-0.8168260373262393,24.896068789351695,-0.8168260373262393,0.7507955529168828,12.301776559321336,0.06577937986301094
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,Tinggi (10000-15000),3-5 Tahun,40-49,21-30 km,0,0,3381.25,563.5416666666666,3381.25,7.39316871211001e-05,3.5,3.25,0.375,4,0.0,0.8,0.19047619047619047,0.19047619047619047,0.16666666666666666,0.19047619047619047,3.3333333333333335,6.666666666666667,0.3980099502487562,0.8333333333333334,6.341463414634147,3.0,0,26.0,-0.8003774680603949,337.895,0,0.0,8,1.9047619047619047,104,6.341463414634147,54100,3298.7804878048782,100,3.9215686274509807,1764,74088,400,8000,676,17576,182925625,2474069078125,2,Risiko Sangat Rendah (Cluster 2),-0.7153916848556496,4.513069435014932,-0.7153916848556496,4.513069435014932,1.0333994910076172,-0.5158949194461657,-0.8284504370588986
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,1,1,3728.5,1065.2857142857142,2485.6666666666665,0.00040225261464199515,4.4,2.75,0.5,0,0.3508771929824561,2.0,0.4,0.0,0.2857142857142857,0.6,1.3333333333333333,5.333333333333333,0.48780487804878053,0.5714285714285714,0.47619047619047616,1.0,1,1.5,-0.32738095238095233,372.79,2,0.47619047619047616,0,0.0,2,0.47619047619047616,14914,3550.9523809523807,8,1.9047619047619047,1600,64000,16,64,1,1,55606849,414660272993,3,Risiko Rendah (Cluster 3),21.27161574094893,-0.6666244839007688,21.27161574094893,-0.6666244839007688,0.33678341963117514,8.23043990143336,6.646993549084559
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,1,1,3971.8,794.36,4964.75,5.0352467270896274e-05,3.25,3.0,0.25,0,0.3225806451612903,2.5,0.8333333333333334,0.16666666666666666,0.2,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.7843137254901962,0.2,0.6451612903225806,5.0,3,3.0,-0.26881720430107525,396.94,3,0.3225806451612903,1,0.9090909090909091,6,0.6451612903225806,99295,3893.921568627451,25,0.9803921568627452,3025,166375,25,125,4,8,394379881,7831990056779,3,Risiko Rendah (Cluster 3),20.619798962043287,-1.3737183800206285,20.619798962043287,-1.3737183800206285,0.028214465267509897,8.02905675250431,2.9035563400292776
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,0,2153.0,239.22222222222223,1076.5,0.0,3.25,2.5,0.5,3,0.0,0.5,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,4.0,16.0,0.8641975308641976,0.8888888888888888,5.806451612903226,1.0,0,18.0,-0.5582437275985663,215.21999999999997,0,0.0,4,0.24390243902439027,54,5.806451612903226,2153,1957.272727272727,8,7.2727272727272725,1296,46656,64,512,324,5832,4635409,9980035577,1,Risiko Sangat Rendah (Cluster 1),-19.873654255004304,-5.81254229875097,-19.873654255004304,-5.81254229875097,-2.2572537833889688,0.17542543677325878,-0.37670737372653235
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,0,3719.6666666666665,1014.4545454545455,3719.6666666666665,0.0,3.75,3.5,0.75,3,0.0,0.375,0.375,0.875,0.2727272727272727,0.875,1.75,7.0,0.9859154929577465,0.6363636363636364,0.9677419354838709,3.0,0,3.0,-0.7782258064516129,371.8666666666667,0,0.0,28,1.707317073170732,9,0.9677419354838709,33477,3599.6774193548385,21,2.258064516129032,1024,32768,49,343,9,27,124523281,1389555292679,1,Risiko Sangat Rendah (Cluster 1),-25.37242350124138,-4.406633796476562,-25.37242350124138,-4.406633796476562,9.77178735410214,-1.2167202026965827,-0.6663053492272972
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,2128.0,709.3333333333334,2128.0,0.0,3.0,2.25,0.1875,4,0.0,2.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.5,2.5,0.5882352941176471,0.8333333333333334,0.9756097560975611,1.0,0,4.0,-1.0274390243902438,212.75,0,0.0,0,0.0,16,0.9756097560975611,8512,2026.6666666666665,5,4.545454545454545,625,15625,25,125,16,64,18113536,77091209216,1,Risiko Sangat Rendah (Cluster 1),-23.640069482248922,-7.652962059127764,-23.640069482248922,-7.652962059127764,0.35962741199665155,0.24048303318985575,0.07244085672191007
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,2973.0,1486.5,743.25,0.0,4.75,1.75,0.0625,3,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.2903225806451613,1.0,0,4.0,-0.7459677419354839,297.29,0,0.0,0,0.0,12,1.2903225806451613,2973,2702.7272727272725,1,0.9090909090909091,400,8000,1,1,16,64,8838729,26277541317,4,Risiko Sedang (Cluster 4),-16.733235838311245,1.9983858660908225,-16.733235838311245,1.9983858660908225,-10.657009509107622,0.5864203280807588,-0.3220820008028264
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,0,0,3998.0,940.7058823529412,2665.3333333333335,0.0,3.5,2.5,0.25,3,0.0,4.0,2.0,0.0,0.23529411764705882,0.0,0.3333333333333333,1.3333333333333333,0.0,0.058823529411764705,7.419354838709677,4.0,0,23.0,-0.5080645161290323,399.64,0,0.0,0,0.0,69,7.419354838709677,63968,3900.4878048780492,2,0.47619047619047616,1764,74088,1,1,529,12167,255744064,4089859071488,4,Risiko Sedang (Cluster 4),-18.751558223603542,3.4036594872784396,-18.751558223603542,3.4036594872784396,-13.377117718956873,0.35526048690333917,-0.47408266534902777
