EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Cluster,Cluster_Label,PCA1,PCA2
1,38,,Travel_Frequently,1444,Human Resources,1,4,Other,1,4,Male,88,3,1,Human Resources,2,Married,2991,5224,0,Y,Yes,11,3,2,80,1,7,2,3,6,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,1,Risiko Sedang,-0.5050460470641032,0.3819202952353515
2,37,1.0,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,0,Risiko Tinggi,-1.0318745774270774,-1.6296484639323314
3,51,1.0,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,Rendah (< 5000),1-2 Tahun,50+,0-5 km,1,1,Risiko Sedang,-0.0024383916795110983,1.1621924308021065
4,42,0.0,Travel_Frequently,555,Sales,26,3,Marketing,1,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,Tinggi (10000-15000),3-5 Tahun,40-49,21-30 km,0,2,Risiko Rendah,2.5327371132954704,0.7033702264146124
5,40,,Travel_Rarely,1194,Research & Development,2,4,Medical,1,3,Female,98,3,1,Research Scientist,3,Married,2001,12549,2,Y,No,14,3,2,80,3,20,2,3,5,3,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,0,1,Risiko Sedang,-0.7479660571701114,0.33851370291218724
6,29,,Travel_Rarely,352,Human Resources,6,1,Medical,1,4,Male,87,2,1,Human Resources,2,Married,2804,15434,1,Y,No,11,3,4,80,0,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,0,1,Risiko Sedang,-1.2011184434786,0.34395305882216665
7,40,0.0,Travel_Rarely,1124,Sales,1,2,Medical,1,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,1,0,Risiko Tinggi,-0.32205191968511104,-0.4787507512776908
8,55,1.0,Travel_Rarely,725,Research & Development,2,3,Medical,1,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,1,2,Risiko Rendah,1.1656549433027692,0.7201554807576669
9,36,0.0,Travel_Frequently,635,Research & Development,18,1,Medical,1,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,Rendah (< 5000),1-2 Tahun,30-39,11-20 km,0,1,Risiko Sedang,-0.3291491642129947,-0.10636451007426001
10,32,0.0,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,1,3,Female,39,3,3,Research Director,4,Single,11159,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,1,Risiko Sedang,0.49992342295304315,0.44168491396082665
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,Risiko Sedang,-0.4825536344720162,1.3160626492377125
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,Risiko Sedang,-1.1810889594282756,0.4120257480007995
